o_zone_id,d_zone_id,volume
59,60,1.5042813999074311
59,68,11.714768739553298
59,69,0.1993645133083418
59,76,7.335643831725113
59,77,0.6126745312489339
59,84,2.1839055613127716
59,85,1.9953013556423846
59,92,0.19079041676169578
59,93,2.2506764884830397
59,101,1.0268464492229314
59,109,0.339276825219103
59,117,0.16034229620228457
60,59,1.5042813999074311
60,68,112603.69093648772
60,69,1043.435953437523
60,76,31519.60494004586
60,77,2726.095011752182
60,84,6741.059387491487
60,85,7485.146442304807
60,92,500.9588779002765
60,93,7325.628066985517
60,101,2998.5936140124254
60,109,913.8722842600105
60,117,406.7160544067515
60,118,3.526770600354515
68,59,11.714768739553298
68,60,112603.69093648772
68,69,9883.707367161018
68,76,765693.7757241677
68,77,29603.220604849696
68,84,106363.93588274662
68,85,84843.44963828477
68,92,6624.2931011448145
68,93,82401.20252309222
68,101,32941.16887701016
68,109,9786.152229743593
68,117,4255.60866860415
68,118,34.75037433535247
69,59,0.1993645133083418
69,60,1043.435953437523
69,68,9883.707367161018
69,76,7095.259562715832
69,77,6406.4933423778775
69,84,2204.8748732839217
69,85,8207.735601761426
69,92,191.1513275644935
69,93,5726.514434366169
69,101,1947.3635530724207
69,109,529.4768977694349
69,117,218.38457874262386
69,118,2.107430732933522
76,59,7.335643831725113
76,60,31519.60494004586
76,68,765693.7757241677
76,69,7095.259562715832
76,77,25848.587629251488
76,84,238183.96793292908
76,85,84929.79322325342
76,92,9634.952138533905
76,93,86098.45165295129
76,101,34156.350789320095
76,109,9910.07944563913
76,117,4200.799183545838
76,118,31.640907267755022
77,59,0.6126745312489339
77,60,2726.095011752182
77,68,29603.220604849696
77,69,6406.4933423778775
77,76,25848.587629251488
77,84,9208.65856665523
77,85,76685.30658320813
77,92,833.3161222449493
77,93,34751.299958979514
77,101,9903.73358596474
77,109,2444.307508897442
77,117,948.2822973841186
77,118,8.67949023752075
84,59,2.1839055613127716
84,60,6741.059387491487
84,68,106363.93588274662
84,69,2204.8748732839217
84,76,238183.96793292908
84,77,9208.65856665523
84,85,36801.80050042874
84,92,10707.271904119843
84,93,42770.884684144214
84,101,17711.053720692416
84,109,5099.419485664931
84,117,2111.097216668124
84,118,14.266109571200309
85,59,1.9953013556423846
85,60,7485.146442304807
85,68,84843.44963828477
85,69,8207.735601761426
85,76,84929.79322325342
85,77,76685.30658320813
85,84,36801.80050042874
85,92,3817.916028076753
85,93,356175.4821397364
85,101,65930.11146774373
85,109,13636.782667322823
85,117,4802.314905735136
85,118,40.228535934233776
92,59,0.19079041676169578
92,60,500.9588779002765
92,68,6624.2931011448145
92,69,191.1513275644935
92,76,9634.952138533905
92,77,833.3161222449493
92,84,10707.271904119843
92,85,3817.916028076753
92,93,5397.03191591444
92,101,2562.093916406208
92,109,770.0012447336591
92,117,316.3367067930049
92,118,1.854756485664237
93,59,2.2506764884830397
93,60,7325.628066985517
93,68,82401.20252309222
93,69,5726.514434366169
93,76,86098.45165295129
93,77,34751.299958979514
93,84,42770.884684144214
93,85,356175.4821397364
93,92,5397.03191591444
93,101,239019.1479467817
93,109,32110.91626601392
93,117,9476.819965892248
93,118,67.53010802103208
101,59,1.0268464492229314
101,60,2998.5936140124254
101,68,32941.16887701016
101,69,1947.3635530724207
101,76,34156.350789320095
101,77,9903.73358596474
101,84,17711.053720692416
101,85,65930.11146774373
101,92,2562.093916406208
101,93,239019.1479467817
101,109,47551.30872077493
101,117,9115.160109005523
101,118,46.660660912625865
109,59,0.339276825219103
109,60,913.8722842600105
109,68,9786.152229743593
109,69,529.4768977694349
109,76,9910.07944563913
109,77,2444.307508897442
109,84,5099.419485664931
109,85,13636.782667322823
109,92,770.0012447336591
109,93,32110.91626601392
109,101,47551.30872077493
109,117,9796.575563954608
109,118,22.417361710236964
117,59,0.16034229620228457
117,60,406.7160544067515
117,68,4255.60866860415
117,69,218.38457874262386
117,76,4200.799183545838
117,77,948.2822973841186
117,84,2111.097216668124
117,85,4802.314905735136
117,92,316.3367067930049
117,93,9476.819965892248
117,101,9115.160109005523
117,109,9796.575563954608
117,118,13.404667436882509
118,60,3.526770600354515
118,68,34.75037433535247
118,69,2.107430732933522
118,76,31.640907267755022
118,77,8.67949023752075
118,84,14.266109571200309
118,85,40.228535934233776
118,92,1.854756485664237
118,93,67.53010802103208
118,101,46.660660912625865
118,109,22.417361710236964
118,117,13.404667436882509
