zone_id,x_coord,y_coord,longitude,latitude,poi_count,production,attraction
1,-74.011152625,40.70706084375,-74.011152625,40.70706084375,3748,3748.0,3748.0
2,-73.99734807499999,40.70706084375,-73.99734807499999,40.70706084375,1071,1071.0,1071.0
3,-73.983543525,40.70706084375,-73.983543525,40.70706084375,197,197.0,197.0
4,-73.969738975,40.70706084375,-73.969738975,40.70706084375,0,0.0,0.0
5,-73.955934425,40.70706084375,-73.955934425,40.70706084375,0,0.0,0.0
6,-73.94212987499999,40.70706084375,-73.94212987499999,40.70706084375,0,0.0,0.0
7,-73.928325325,40.70706084375,-73.928325325,40.70706084375,0,0.0,0.0
8,-73.914520775,40.70706084375,-73.914520775,40.70706084375,0,0.0,0.0
9,-74.011152625,40.71807893125,-74.011152625,40.71807893125,2421,2421.0,2421.0
10,-73.99734807499999,40.71807893125,-73.99734807499999,40.71807893125,3964,3964.0,3964.0
11,-73.983543525,40.71807893125,-73.983543525,40.71807893125,2016,2016.0,2016.0
12,-73.969738975,40.71807893125,-73.969738975,40.71807893125,49,49.0,49.0
13,-73.955934425,40.71807893125,-73.955934425,40.71807893125,0,0.0,0.0
14,-73.94212987499999,40.71807893125,-73.94212987499999,40.71807893125,0,0.0,0.0
15,-73.928325325,40.71807893125,-73.928325325,40.71807893125,0,0.0,0.0
16,-73.914520775,40.71807893125,-73.914520775,40.71807893125,0,0.0,0.0
17,-74.011152625,40.72909701875,-74.011152625,40.72909701875,1088,1088.0,1088.0
18,-73.99734807499999,40.72909701875,-73.99734807499999,40.72909701875,3665,3665.0,3665.0
19,-73.983543525,40.72909701875,-73.983543525,40.72909701875,3333,3333.0,3333.0
20,-73.969738975,40.72909701875,-73.969738975,40.72909701875,612,612.0,612.0
21,-73.955934425,40.72909701875,-73.955934425,40.72909701875,20,20.0,20.0
22,-73.94212987499999,40.72909701875,-73.94212987499999,40.72909701875,0,0.0,0.0
23,-73.928325325,40.72909701875,-73.928325325,40.72909701875,0,0.0,0.0
24,-73.914520775,40.72909701875,-73.914520775,40.72909701875,0,0.0,0.0
25,-74.011152625,40.740115106249995,-74.011152625,40.740115106249995,1007,1007.0,1007.0
26,-73.99734807499999,40.740115106249995,-73.99734807499999,40.740115106249995,3260,3260.0,3260.0
27,-73.983543525,40.740115106249995,-73.983543525,40.740115106249995,2641,2641.0,2641.0
28,-73.969738975,40.740115106249995,-73.969738975,40.740115106249995,283,283.0,283.0
29,-73.955934425,40.740115106249995,-73.955934425,40.740115106249995,0,0.0,0.0
30,-73.94212987499999,40.740115106249995,-73.94212987499999,40.740115106249995,0,0.0,0.0
31,-73.928325325,40.740115106249995,-73.928325325,40.740115106249995,0,0.0,0.0
32,-73.914520775,40.740115106249995,-73.914520775,40.740115106249995,0,0.0,0.0
33,-74.011152625,40.75113319375,-74.011152625,40.75113319375,241,241.0,241.0
34,-73.99734807499999,40.75113319375,-73.99734807499999,40.75113319375,1993,1993.0,1993.0
35,-73.983543525,40.75113319375,-73.983543525,40.75113319375,2325,2325.0,2325.0
36,-73.969738975,40.75113319375,-73.969738975,40.75113319375,1540,1540.0,1540.0
37,-73.955934425,40.75113319375,-73.955934425,40.75113319375,112,112.0,112.0
38,-73.94212987499999,40.75113319375,-73.94212987499999,40.75113319375,0,0.0,0.0
39,-73.928325325,40.75113319375,-73.928325325,40.75113319375,0,0.0,0.0
40,-73.914520775,40.75113319375,-73.914520775,40.75113319375,0,0.0,0.0
41,-74.011152625,40.76215128125,-74.011152625,40.76215128125,2,2.0,2.0
42,-73.99734807499999,40.76215128125,-73.99734807499999,40.76215128125,1221,1221.0,1221.0
43,-73.983543525,40.76215128125,-73.983543525,40.76215128125,2067,2067.0,2067.0
44,-73.969738975,40.76215128125,-73.969738975,40.76215128125,2107,2107.0,2107.0
45,-73.955934425,40.76215128125,-73.955934425,40.76215128125,1000,1000.0,1000.0
46,-73.94212987499999,40.76215128125,-73.94212987499999,40.76215128125,34,34.0,34.0
47,-73.928325325,40.76215128125,-73.928325325,40.76215128125,0,0.0,0.0
48,-73.914520775,40.76215128125,-73.914520775,40.76215128125,0,0.0,0.0
49,-74.011152625,40.77316936875,-74.011152625,40.77316936875,0,0.0,0.0
50,-73.99734807499999,40.77316936875,-73.99734807499999,40.77316936875,155,155.0,155.0
51,-73.983543525,40.77316936875,-73.983543525,40.77316936875,1514,1514.0,1514.0
52,-73.969738975,40.77316936875,-73.969738975,40.77316936875,881,881.0,881.0
53,-73.955934425,40.77316936875,-73.955934425,40.77316936875,2813,2813.0,2813.0
54,-73.94212987499999,40.77316936875,-73.94212987499999,40.77316936875,646,646.0,646.0
55,-73.928325325,40.77316936875,-73.928325325,40.77316936875,0,0.0,0.0
56,-73.914520775,40.77316936875,-73.914520775,40.77316936875,0,0.0,0.0
57,-74.011152625,40.784187456249995,-74.011152625,40.784187456249995,0,0.0,0.0
58,-73.99734807499999,40.784187456249995,-73.99734807499999,40.784187456249995,12,12.0,12.0
59,-73.983543525,40.784187456249995,-73.983543525,40.784187456249995,1505,1505.0,1505.0
60,-73.969738975,40.784187456249995,-73.969738975,40.784187456249995,1507,1507.0,1507.0
61,-73.955934425,40.784187456249995,-73.955934425,40.784187456249995,1686,1686.0,1686.0
62,-73.94212987499999,40.784187456249995,-73.94212987499999,40.784187456249995,780,780.0,780.0
63,-73.928325325,40.784187456249995,-73.928325325,40.784187456249995,124,124.0,124.0
64,-73.914520775,40.784187456249995,-73.914520775,40.784187456249995,7,7.0,7.0
65,-74.011152625,40.79520554375,-74.011152625,40.79520554375,0,0.0,0.0
