node_id,osm_node_id,x_coord,y_coord,longitude,latitude,activity_type,is_boundary,zone_id
12781,42721991,-73.909773,40.8892148,-73.909773,40.8892148,node,0,-1
12782,42722016,-73.9091143,40.8887832,-73.9091143,40.8887832,node,0,-1
12783,42722024,-73.9098779,40.8885449,-73.9098779,40.8885449,node,0,-1
12784,42722087,-73.860262,40.896867,-73.860262,40.896867,node,0,-1
12785,42722093,-73.8691209,40.8807192,-73.8691209,40.8807192,node,0,-1
12786,42722095,-73.8704731,40.8783979,-73.8704731,40.8783979,node,0,-1
12787,42722100,-73.8706464,40.8763624,-73.8706464,40.8763624,node,0,-1
12788,42722110,-73.8673272,40.8776264,-73.8673272,40.8776264,node,0,-1
12789,42722112,-73.8665453,40.8778982,-73.8665453,40.8778982,node,0,-1
12790,42722122,-73.8670725,40.8770798,-73.8670725,40.8770798,node,0,-1
12791,42722136,-73.8673823,40.8776406,-73.8673823,40.8776406,node,0,-1
12792,42722172,-73.8719118,40.8654711,-73.8719118,40.8654711,node,0,-1
12793,42722199,-73.8112826,40.8190384,-73.8112826,40.8190384,node,0,-1
12794,42722291,-73.8707742,40.8540495,-73.8707742,40.8540495,node,0,-1
12795,42722328,-73.8770288,40.8690167,-73.8770288,40.8690167,node,0,-1
12796,42722498,-73.9024757,40.8449666,-73.9024757,40.8449666,node,0,-1
12797,42722557,-73.8367184,40.8567072,-73.8367184,40.8567072,node,0,-1
12798,42722573,-73.8348738,40.8534026,-73.8348738,40.8534026,node,0,-1
12799,42722642,-73.8752306,40.8360941,-73.8752306,40.8360941,node,0,-1
12800,42722670,-73.9085681,40.8906208,-73.9085681,40.8906208,node,0,-1
12801,42722702,-73.8697622,40.8782251,-73.8697622,40.8782251,node,0,-1
12802,42722708,-73.8586515,40.8324393,-73.8586515,40.8324393,node,0,-1
12803,42722735,-73.8638716,40.8339682,-73.8638716,40.8339682,node,0,-1
12804,42722742,-73.863966,40.8346076,-73.863966,40.8346076,node,0,-1
12805,42722746,-73.8681569,40.8358576,-73.8681569,40.8358576,node,0,-1
12806,42722816,-73.8797518,40.8968098,-73.8797518,40.8968098,node,0,-1
12807,42722820,-73.8797858,40.8979802,-73.8797858,40.8979802,node,0,-1
12808,42722995,-73.8682294,40.9023852,-73.8682294,40.9023852,node,0,-1
12809,42723033,-73.87306,40.8993425,-73.87306,40.8993425,node,0,-1
12810,42723094,-73.8279561,40.848629,-73.8279561,40.848629,node,0,-1
12811,42723114,-73.8258368,40.8370815,-73.8258368,40.8370815,node,0,-1
12812,42723331,-73.8798703,40.8385194,-73.8798703,40.8385194,node,0,-1
12813,42723404,-73.8802126,40.8952163,-73.8802126,40.8952163,node,0,-1
12814,42723416,-73.8793205,40.9001883,-73.8793205,40.9001883,node,0,-1
12815,42723424,-73.894674,40.8855211,-73.894674,40.8855211,node,0,-1
12816,42723431,-73.8943074,40.8866041,-73.8943074,40.8866041,node,0,-1
12817,42723466,-73.8349071,40.8293663,-73.8349071,40.8293663,node,0,-1
12818,42723494,-73.8948052,40.8865244,-73.8948052,40.8865244,node,0,-1
12819,42723765,-73.890485,40.8200383,-73.890485,40.8200383,node,0,-1
12820,42723849,-73.8779909,40.8235034,-73.8779909,40.8235034,node,0,-1
12821,42723857,-73.8780751,40.8238313,-73.8780751,40.8238313,node,0,-1
